date_time,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya
2017-07-22,81.95833333333333,56.666666666666664,71.79166666666667,58.541666666666664,71.125,75.41666666666667,23.125,41.5,45.25,60.291666666666664,57.416666666666664,53.125,69.20833333333333,57.208333333333336,69.20833333333333,65.875,81.41666666666667,67.625,82.95833333333333,82.875,68.70833333333333,83.5,65.0,77.54166666666667,84.375,68.125,59.25,53.083333333333336,57.833333333333336,68.20833333333333,69.66666666666667,65.79166666666667,45.166666666666664,71.91666666666667,71.91666666666667
2017-07-23,82.29166666666667,67.66666666666667,66.375,70.33333333333333,72.375,73.20833333333333,23.625,48.541666666666664,52.208333333333336,36.958333333333336,57.791666666666664,55.708333333333336,68.0,75.79166666666667,61.625,64.29166666666667,76.125,62.5,85.08333333333333,83.16666666666667,77.45833333333333,91.29166666666667,72.08333333333333,70.29166666666667,86.45833333333333,84.91666666666667,74.79166666666667,84.83333333333333,47.708333333333336,72.25,69.33333333333333,63.166666666666664,43.666666666666664,73.08333333333333,73.08333333333333
2017-07-24,75.5,60.375,77.66666666666667,65.04166666666667,70.375,75.45833333333333,30.583333333333332,73.66666666666667,50.375,30.583333333333332,57.041666666666664,73.75,65.625,65.875,73.29166666666667,67.83333333333333,71.5,75.16666666666667,81.5,89.45833333333333,70.70833333333333,82.08333333333333,77.125,72.66666666666667,79.79166666666667,71.04166666666667,77.70833333333333,83.375,65.83333333333333,81.83333333333333,71.66666666666667,68.08333333333333,43.416666666666664,79.41666666666667,79.41666666666667
2017-07-25,76.29166666666667,55.833333333333336,68.79166666666667,56.0,73.125,72.625,56.458333333333336,63.291666666666664,47.791666666666664,31.166666666666668,60.125,66.41666666666667,66.95833333333333,68.45833333333333,68.625,63.541666666666664,65.58333333333333,77.79166666666667,74.58333333333333,82.79166666666667,55.875,75.79166666666667,68.625,74.79166666666667,65.16666666666667,72.41666666666667,81.16666666666667,77.66666666666667,83.91666666666667,86.75,71.375,66.95833333333333,47.125,76.54166666666667,76.54166666666667
2017-07-26,70.91666666666667,56.833333333333336,78.5,60.458333333333336,71.79166666666667,75.29166666666667,54.291666666666664,44.708333333333336,47.75,73.54166666666667,58.625,56.125,66.29166666666667,77.875,81.16666666666667,67.54166666666667,66.25,73.04166666666667,77.79166666666667,76.79166666666667,68.0,79.375,74.125,71.125,67.95833333333333,74.875,74.0,66.0,73.66666666666667,73.25,65.41666666666667,64.45833333333333,41.333333333333336,80.75,80.75
2017-07-27,71.25,66.08333333333333,80.125,74.58333333333333,70.54166666666667,76.0,33.875,31.75,43.625,74.66666666666667,61.75,50.25,63.5,91.58333333333333,62.583333333333336,76.375,83.70833333333333,73.875,88.16666666666667,78.0,68.25,91.29166666666667,73.91666666666667,70.5,69.75,85.58333333333333,76.20833333333333,75.0,77.79166666666667,82.45833333333333,71.375,64.83333333333333,36.041666666666664,76.70833333333333,76.70833333333333
2017-07-28,74.29166666666667,65.16666666666667,86.79166666666667,70.75,73.79166666666667,78.79166666666667,20.75,36.541666666666664,66.54166666666667,53.166666666666664,56.958333333333336,47.666666666666664,63.791666666666664,79.08333333333333,63.875,68.66666666666667,73.54166666666667,86.08333333333333,83.54166666666667,90.25,66.625,80.83333333333333,82.0,72.75,79.04166666666667,64.04166666666667,77.375,76.41666666666667,66.04166666666667,77.33333333333333,70.04166666666667,65.54166666666667,37.375,81.16666666666667,81.16666666666667
2017-07-29,67.0,58.625,87.04166666666667,65.0,71.375,76.41666666666667,23.583333333333332,48.416666666666664,52.0,61.5,54.541666666666664,45.291666666666664,63.666666666666664,59.625,61.333333333333336,56.625,57.125,72.95833333333333,75.04166666666667,77.29166666666667,58.25,78.79166666666667,75.04166666666667,75.04166666666667,76.75,57.666666666666664,71.95833333333333,57.208333333333336,56.166666666666664,67.875,66.125,56.208333333333336,43.625,68.83333333333333,69.125
2017-07-30,68.5,58.166666666666664,92.0,65.70833333333333,73.16666666666667,75.70833333333333,22.083333333333332,65.16666666666667,45.25,57.166666666666664,49.625,56.5,64.70833333333333,67.83333333333333,61.416666666666664,58.791666666666664,66.08333333333333,63.083333333333336,73.20833333333333,70.625,45.291666666666664,86.625,58.125,71.33333333333333,60.25,50.5,47.375,48.875,61.541666666666664,67.16666666666667,66.04166666666667,59.583333333333336,42.791666666666664,73.41666666666667,73.41666666666667
2017-07-31,70.16666666666667,53.041666666666664,90.375,58.75,80.25,77.41666666666667,18.75,48.041666666666664,61.25,58.625,57.666666666666664,49.541666666666664,50.666666666666664,74.16666666666667,63.5,64.95833333333333,66.95833333333333,66.25,75.66666666666667,63.666666666666664,47.166666666666664,75.66666666666667,56.916666666666664,84.75,55.5,66.20833333333333,53.791666666666664,50.458333333333336,70.54166666666667,67.375,68.75,66.79166666666667,47.833333333333336,80.04166666666667,80.04166666666667
2017-08-01,73.33333333333333,42.708333333333336,83.5,56.791666666666664,69.875,74.79166666666667,19.458333333333332,39.291666666666664,61.25,37.958333333333336,54.125,50.583333333333336,55.833333333333336,77.20833333333333,62.958333333333336,65.41666666666667,69.16666666666667,76.66666666666667,78.29166666666667,67.20833333333333,45.666666666666664,77.04166666666667,57.458333333333336,78.04166666666667,59.041666666666664,76.70833333333333,56.375,54.875,64.91666666666667,70.41666666666667,68.83333333333333,66.29166666666667,51.541666666666664,74.54166666666667,74.54166666666667
2017-08-02,76.20833333333333,43.541666666666664,81.41666666666667,51.291666666666664,61.5,73.41666666666667,28.166666666666668,48.25,45.833333333333336,37.291666666666664,54.041666666666664,84.375,72.66666666666667,68.875,60.0,64.83333333333333,72.33333333333333,73.95833333333333,80.45833333333333,70.125,58.916666666666664,88.66666666666667,65.58333333333333,79.54166666666667,62.0,78.79166666666667,74.91666666666667,68.25,65.75,81.0,67.5,67.33333333333333,39.458333333333336,77.0,77.0
2017-08-03,72.875,48.625,71.41666666666667,53.916666666666664,62.333333333333336,80.41666666666667,34.375,52.291666666666664,37.5,65.54166666666667,75.58333333333333,77.25,78.58333333333333,68.45833333333333,75.25,68.20833333333333,77.75,77.875,79.875,79.5,81.04166666666667,85.91666666666667,69.625,72.875,69.58333333333333,82.20833333333333,79.5,75.75,73.625,78.875,65.625,67.41666666666667,38.125,75.91666666666667,75.91666666666667
2017-08-04,73.04166666666667,48.458333333333336,79.29166666666667,57.875,63.458333333333336,77.625,42.333333333333336,59.208333333333336,51.916666666666664,69.95833333333333,66.66666666666667,60.75,67.33333333333333,59.583333333333336,64.20833333333333,56.791666666666664,75.20833333333333,77.66666666666667,78.08333333333333,80.70833333333333,75.04166666666667,82.45833333333333,73.33333333333333,71.125,70.04166666666667,83.29166666666667,73.625,75.375,79.25,75.0,66.5,65.5,42.833333333333336,77.58333333333333,77.58333333333333
2017-08-05,77.25,57.916666666666664,85.66666666666667,66.375,70.04166666666667,78.45833333333333,55.666666666666664,38.208333333333336,62.208333333333336,43.208333333333336,64.95833333333333,60.875,72.20833333333333,74.95833333333333,68.375,64.25,63.25,65.33333333333333,78.20833333333333,78.91666666666667,61.458333333333336,80.04166666666667,76.08333333333333,66.0,68.125,70.66666666666667,67.70833333333333,79.58333333333333,81.375,88.95833333333333,64.83333333333333,61.0,40.666666666666664,72.79166666666667,72.79166666666667
2017-08-06,79.20833333333333,62.958333333333336,83.16666666666667,74.29166666666667,73.625,74.79166666666667,32.166666666666664,30.083333333333332,55.791666666666664,70.29166666666667,65.875,58.125,76.29166666666667,91.04166666666667,76.41666666666667,84.20833333333333,70.95833333333333,71.125,83.5,74.54166666666667,59.791666666666664,79.91666666666667,57.75,67.20833333333333,75.5,70.20833333333333,52.791666666666664,54.375,68.125,67.79166666666667,60.791666666666664,60.375,42.583333333333336,75.45833333333333,75.45833333333333
2017-08-07,82.08333333333333,67.5,84.875,73.66666666666667,73.66666666666667,76.58333333333333,26.625,26.5,48.916666666666664,82.33333333333333,75.875,69.83333333333333,83.08333333333333,83.16666666666667,73.29166666666667,83.95833333333333,76.70833333333333,89.91666666666667,78.91666666666667,87.95833333333333,72.66666666666667,83.91666666666667,82.45833333333333,68.375,81.04166666666667,81.79166666666667,79.625,74.625,63.833333333333336,73.08333333333333,67.5,65.91666666666667,44.458333333333336,78.375,78.375
2017-08-08,82.625,69.75,85.125,69.625,70.41666666666667,76.66666666666667,17.666666666666668,22.125,52.041666666666664,84.45833333333333,72.20833333333333,71.45833333333333,84.0,73.375,62.416666666666664,67.83333333333333,56.666666666666664,77.04166666666667,73.625,94.25,61.583333333333336,85.125,86.04166666666667,68.20833333333333,69.54166666666667,73.625,75.54166666666667,80.45833333333333,67.91666666666667,83.25,68.95833333333333,65.79166666666667,45.625,78.41666666666667,78.41666666666667
2017-08-09,83.05882352941177,59.8235294117647,90.0,64.58823529411765,71.3529411764706,76.0,16.176470588235293,21.529411764705884,39.64705882352941,63.05882352941177,66.94117647058823,66.11764705882354,79.76470588235294,76.82352941176471,74.88235294117646,66.6470588235294,74.23529411764706,79.23529411764706,82.76470588235294,95.17647058823529,53.23529411764706,93.05882352941177,79.6470588235294,67.23529411764706,63.23529411764706,71.23529411764706,65.0,62.705882352941174,65.3529411764706,84.3529411764706,74.11764705882354,66.88235294117646,52.470588235294116,80.94117647058823,80.94117647058823
2017-08-10,76.79166666666667,64.70833333333333,86.16666666666667,70.66666666666667,71.66666666666667,77.45833333333333,16.375,28.916666666666668,33.666666666666664,70.5,70.125,65.0,69.0,84.625,84.83333333333333,64.16666666666667,68.20833333333333,76.375,69.95833333333333,88.0,53.916666666666664,80.66666666666667,76.33333333333333,77.41666666666667,62.0,84.41666666666667,63.625,58.916666666666664,63.833333333333336,67.91666666666667,70.25,65.04166666666667,40.333333333333336,73.95833333333333,73.95833333333333
2017-08-11,77.625,66.20833333333333,84.5,71.125,75.125,76.45833333333333,24.666666666666668,42.25,42.25,78.79166666666667,67.875,54.916666666666664,69.20833333333333,75.83333333333333,74.54166666666667,75.70833333333333,66.79166666666667,80.5,69.79166666666667,88.45833333333333,65.70833333333333,81.58333333333333,83.83333333333333,75.0,80.29166666666667,83.29166666666667,65.125,56.041666666666664,71.08333333333333,73.0,67.95833333333333,64.5,38.0,78.54166666666667,78.54166666666667
2017-08-12,75.16666666666667,68.58333333333333,89.66666666666667,76.29166666666667,74.91666666666667,82.16666666666667,36.166666666666664,41.083333333333336,79.79166666666667,64.70833333333333,61.75,62.958333333333336,66.58333333333333,65.58333333333333,64.5,79.20833333333333,68.70833333333333,79.79166666666667,77.58333333333333,87.95833333333333,71.58333333333333,81.08333333333333,84.91666666666667,73.70833333333333,80.95833333333333,83.33333333333333,84.08333333333333,79.45833333333333,80.16666666666667,85.875,67.95833333333333,64.45833333333333,42.541666666666664,75.08333333333333,73.875
2017-08-13,78.83333333333333,77.125,80.66666666666667,78.75,74.16666666666667,78.66666666666667,34.416666666666664,61.541666666666664,52.875,56.375,59.208333333333336,83.41666666666667,69.0,70.25,72.08333333333333,74.625,72.54166666666667,73.125,65.5,86.91666666666667,73.33333333333333,84.25,85.125,71.79166666666667,70.66666666666667,70.75,79.45833333333333,71.25,73.04166666666667,75.45833333333333,67.29166666666667,68.08333333333333,35.125,76.95833333333333,76.95833333333333
